Title.E text="Distraction"
Title.R text="Отвлечение"
Resume.E text="ATTENTION: This level will be deprecated soon. Hold out under attack of enemy until black box will be delivered."
Resume.R text="ВНИМАНИЕ: Этот уровень скоро будет отброшен. Продержитесь под атакой врага, пока чёрный ящик не будет доставлен."
Instructions name="%lvl%/help/help.%lng%.txt"
Satellite name="%lvl%/help/report.%lng%.txt"
// Loading name="programs/7_CollectTitanium3.txt"
SoluceFile name="%lvl%/help/soluce.%lng%.txt"
HelpFile name="cbot.txt"
EndingFile win=-1 lost=0

Audio filename="music006.ogg"

#Include file="%chap%/planet.txt"
TerrainRelief image="m_relief_12.png" factor=1.0
TerrainResource image="m_resae.png"
TerrainWater image="lava05.png" level=25.0 moveX=2.0 moveY=1.0 air=TO water=TO color=1.000;0.502;0.000;
TerrainLava mode=1
#Include file="%chap%/terrain_noice.txt"

TerrainInit id=10
TerrainLevel id=10;11;12;13 min= 0.0 max=99.0 slope=0.0 freq=100.0
TerrainLevel id=14;15;16;17 min=25.0 max=35.0 slope=7.0 freq=50.0
TerrainLevel id=20;21;22;23;24;25;26;27 min=140.0 max=900.0 slope=7.0 freq=100.0

TerrainCreate

BeginObject
CreateObject pos=0.00;0.00 dir=0.0 type=SpaceShip run=1
CreateObject pos=-18.5439;9.80103 dir=1.45949 type=Greenery16
CreateObject pos=-79.6752;-52.6002 dir=1.8761 type=Greenery18


CreateLight dir= 0.0;-1.0; 0.0 color= 0.63; 0.63; 0.63 type=Terrain
CreateLight dir= 1.0; 0.0;-1.0 color=-0.70;-0.70;-0.70 type=Terrain
CreateLight dir=-1.0; 0.0; 1.0 color= 1.40; 1.40; 1.40 type=Terrain
CreateLight dir=-1.0;-1.0; 1.0 color= 0.56; 0.56; 0.56 type=Object
CreateLight dir= 1.0;-1.0; 1.0 color= 0.32; 0.32; 0.32 type=Object
CreateLight dir=-1.0;-1.0;-1.0 color= 0.32; 0.32; 0.32 type=Object
CreateLight dir= 1.0;-1.0;-1.0 color= 0.16; 0.16; 0.16 type=Object
WaterColor color=-0.2;-0.5;-0.8 // orange

MapColor floor=0.647;0.557;0.420 water=1.000;0.682;0.251
MapZoom factor=2 enable=0

// EnableBuild type=BotFactory
// EnableBuild type=Converter
// EnableBuild type=PowerStation
// EnableBuild type=PowerPlant
// EnableBuild type=RadarStation
// EnableBuild type=ExchangePost
// EnableBuild type=DefenseTower
EnableBuild type=FlatGround
EnableBuild type=Flag

EnableResearch type=TRACKER
EnableResearch type=SNIFFER
EnableResearch type=SHOOTER
EnableResearch type=TOWER
EnableResearch type=RECYCLER
// EnableResearch type=ATOMIC
DoneResearch type=TRACKER
DoneResearch type=SNIFFER
DoneResearch type=SHOOTER
DoneResearch type=TOWER
DoneResearch type=RECYCLER
// DoneResearch type=ATOMIC

EndMissionTake pos=0.00; 0.00; dist=100000 tool=Grabber lost=0
EndMissionTake pos=0.00; 0.00; dist=100000 type=RadarStation lost=0
EndMissionTake pos=0.00;0.00 dist=8.0 tool=Grabber min=1
EndMissionTake pos=0.00;0.00 dist=8.0 type=BlackBox min=1
EndMissionTake pos=0.00;0.00 dist=20.0 type=AlienWasp min=0 max=0

Camera eye=0.00;5.00;0.00 lookat=0.00;1.00;0.00 delay=0
